,0
0,partie
1,histoire
2,chercher
3,seulement
4,police
5,pensais
6,aide
7,demande
8,genre
9,mois
10,frère
11,laisser
12,car
13,mettre
14,aucun
15,laisse
16,eux
17,ville
18,chaque
19,parlé
20,arrivé
21,devrait
22,bébé
23,longtemps
24,heures
25,vont
26,revoir
27,aucune
28,place
29,parle
30,compris
31,savais
32,étaient
33,attention
34,voici
35,pourrais
36,affaire
37,donner
38,type
39,leurs
40,donné
41,train
42,corps
43,endroit
44,yeux
45,façon
46,écoute
47,dont
48,trouve
49,premier
50,perdu
51,main
52,première
53,côté
54,pouvoir
55,sois
56,tiens
57,matin
58,tellement
59,enfant
60,point
61,venu
62,suite
63,pardon
64,venez
65,devant
66,vers
67,minutes
68,demandé
69,chambre
70,mis
71,belle
72,droit
73,aimerais
74,aujourd'hui
75,mari
76,cause
77,enfin
78,espère
79,eau
80,attendez
81,parti
82,nouvelle
83,boulot
84,arrêter
85,dirait
86,terre
87,compte
88,donne
89,loin
90,fin
91,croire
92,chérie
93,gros
94,plutôt
95,aura
96,filles
97,jouer
98,bureau
